Title,All_Words
The Prestige,hughjackman christianbale michaelcaine christophernolan drama  mystery  sci-fi T h e   P r e s t i g e upmanship competitive one ultimate stage illusion attempt two magicians engage create h u g h j a c k m a n   c h r i s t i a n b a l e   m i c h a e l c a i n e   c h r i s t o p h e r n o l a n   d r a m a     m y s t e r y     s c i - f i   T   h   e       P   r   e   s   t   i   g   e   u p m a n s h i p   c o m p e t i t i v e   o n e   u l t i m a t e   s t a g e   i l l u s i o n   a t t e m p t   t w o   m a g i c i a n s   e n g a g e   c r e a t e   
Apocalypse Now,marlonbrando martinsheen robertduvall francisfordcoppola drama  war A p o c a l y p s e   N o w captain willard assassinate local tribe cambodia god among vietnam war renegade colonel set sent dangerous mission m a r l o n b r a n d o   m a r t i n s h e e n   r o b e r t d u v a l l   f r a n c i s f o r d c o p p o l a   d r a m a     w a r   A   p   o   c   a   l   y   p   s   e       N   o   w   c a p t a i n   w i l l a r d   a s s a s s i n a t e   l o c a l   t r i b e   c a m b o d i a   g o d   a m o n g   v i e t n a m   w a r   r e n e g a d e   c o l o n e l   s e t   s e n t   d a n g e r o u s   m i s s i o n   
Memento,guypearce carrie-annemoss joepantoliano christophernolan mystery  thriller M e m e n t o short keeping wife term memory loss man juggles searching murderer obstacle g u y p e a r c e   c a r r i e - a n n e m o s s   j o e p a n t o l i a n o   c h r i s t o p h e r n o l a n   m y s t e r y     t h r i l l e r   M   e   m   e   n   t   o   s h o r t   k e e p i n g   w i f e   t e r m   m e m o r y   l o s s   m a n   j u g g l e s   s e a r c h i n g   m u r d e r e r   o b s t a c l e   
The Great Dictator,charleschaplin jackoakie reginaldgardiner charleschaplin comedy  drama  war T h e   G r e a t   D i c t a t o r regime expand empire dictator adenoid hynkel tries poor jewish barber avoid persecution c h a r l e s c h a p l i n   j a c k o a k i e   r e g i n a l d g a r d i n e r   c h a r l e s c h a p l i n   c o m e d y     d r a m a     w a r   T   h   e       G   r   e   a   t       D   i   c   t   a   t   o   r   r e g i m e   e x p a n d   e m p i r e   d i c t a t o r   a d e n o i d   h y n k e l   t r i e s   p o o r   j e w i s h   b a r b e r   a v o i d   p e r s e c u t i o n   
Sunset Boulevard,williamholden gloriaswanson erichvonstroheim billywilder drama  film-noir S u n s e t   B o u l e v a r d faded silent film star developing find script hired rework dangerous relationship screenwriter w i l l i a m h o l d e n   g l o r i a s w a n s o n   e r i c h v o n s t r o h e i m   b i l l y w i l d e r   d r a m a     f i l m - n o i r   S   u   n   s   e   t       B   o   u   l   e   v   a   r   d   f a d e d   s i l e n t   f i l m   s t a r   d e v e l o p i n g   f i n d   s c r i p t   h i r e d   r e w o r k   d a n g e r o u s   r e l a t i o n s h i p   s c r e e n w r i t e r   
Alien,tomskerritt sigourneyweaver veronicacartwright ridleyscott horror  sci-fi A l i e n soon realize distress call merely begun landing mysterious life source moon finds one form space merchant vessel perceives unknown transmission crew attacked cycle t o m s k e r r i t t   s i g o u r n e y w e a v e r   v e r o n i c a c a r t w r i g h t   r i d l e y s c o t t   h o r r o r     s c i - f i   A   l   i   e   n   s o o n   r e a l i z e   d i s t r e s s   c a l l   m e r e l y   b e g u n   l a n d i n g   m y s t e r i o u s   l i f e   s o u r c e   m o o n   f i n d s   o n e   f o r m   s p a c e   m e r c h a n t   v e s s e l   p e r c e i v e s   u n k n o w n   t r a n s m i s s i o n   c r e w   a t t a c k e d   c y c l e   
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,petersellers georgec.scott sterlinghayden stanleykubrick comedy D r .   S t r a n g e l o v e   o r :   H o w   I   L e a r n e d   t o   S t o p   W o r r y i n g   a n d   L o v e   t h e   B o m b war room full insane general triggers generals frantically try politicians path nuclear holocaust stop p e t e r s e l l e r s   g e o r g e c . s c o t t   s t e r l i n g h a y d e n   s t a n l e y k u b r i c k   c o m e d y   D   r   .       S   t   r   a   n   g   e   l   o   v   e       o   r   :       H   o   w       I       L   e   a   r   n   e   d       t   o       S   t   o   p       W   o   r   r   y   i   n   g       a   n   d       L   o   v   e       t   h   e       B   o   m   b   w a r   r o o m   f u l l   i n s a n e   g e n e r a l   t r i g g e r s   g e n e r a l s   f r a n t i c a l l y   t r y   p o l i t i c i a n s   p a t h   n u c l e a r   h o l o c a u s t   s t o p   
Paths of Glory,kirkdouglas ralphmeeker adolphemenjou stanleykubrick drama  war P a t h s   o f   G l o r y cowardice commanding officer must defend general accuses attack refusing enemy position soldiers k i r k d o u g l a s   r a l p h m e e k e r   a d o l p h e m e n j o u   s t a n l e y k u b r i c k   d r a m a     w a r   P   a   t   h   s       o   f       G   l   o   r   y   c o w a r d i c e   c o m m a n d i n g   o f f i c e r   m u s t   d e f e n d   g e n e r a l   a c c u s e s   a t t a c k   r e f u s i n g   e n e m y   p o s i t i o n   s o l d i e r s   
Django Unchained,jamiefoxx christophwaltz leonardodicaprio quentintarantino drama  western D j a n g o   U n c h a i n e d brutal mississippi plantation owner wife freed slave sets german bounty hunter rescue help j a m i e f o x x   c h r i s t o p h w a l t z   l e o n a r d o d i c a p r i o   q u e n t i n t a r a n t i n o   d r a m a     w e s t e r n   D   j   a   n   g   o       U   n   c   h   a   i   n   e   d   b r u t a l   m i s s i s s i p p i   p l a n t a t i o n   o w n e r   w i f e   f r e e d   s l a v e   s e t s   g e r m a n   b o u n t y   h u n t e r   r e s c u e   h e l p   
The Shining,jacknicholson shelleyduvall dannylloyd stanleykubrick drama  horror T h e   S h i n i n g isolated hotel spiritual presence influences future father evil past winter violence psychic son sees horrific forebodings family heads j a c k n i c h o l s o n   s h e l l e y d u v a l l   d a n n y l l o y d   s t a n l e y k u b r i c k   d r a m a     h o r r o r   T   h   e       S   h   i   n   i   n   g   i s o l a t e d   h o t e l   s p i r i t u a l   p r e s e n c e   i n f l u e n c e s   f u t u r e   f a t h e r   e v i l   p a s t   w i n t e r   v i o l e n c e   p s y c h i c   s o n   s e e s   h o r r i f i c   f o r e b o d i n g s   f a m i l y   h e a d s   
Witness for the Prosecution,tyronepower marlenedietrich charleslaughton billywilder crime  drama  mystery W i t n e s s   f o r   t h e   P r o s e c u t i o n surprise veteran british barrister must defend client murder trial t y r o n e p o w e r   m a r l e n e d i e t r i c h   c h a r l e s l a u g h t o n   b i l l y w i l d e r   c r i m e     d r a m a     m y s t e r y   W   i   t   n   e   s   s       f   o   r       t   h   e       P   r   o   s   e   c   u   t   i   o   n   s u r p r i s e   v e t e r a n   b r i t i s h   b a r r i s t e r   m u s t   d e f e n d   c l i e n t   m u r d e r   t r i a l   
The Dark Knight Rises,christianbale garyoldman tomhardy christophernolan action  thriller T h e   D a r k   K n i g h t   R i s e s enigmatic selina brutal guerrilla terrorist bane save gotham city total annihilation anarchy forced joker eight years imposed exile reign edge dark knight help c h r i s t i a n b a l e   g a r y o l d m a n   t o m h a r d y   c h r i s t o p h e r n o l a n   a c t i o n     t h r i l l e r   T   h   e       D   a   r   k       K   n   i   g   h   t       R   i   s   e   s   e n i g m a t i c   s e l i n a   b r u t a l   g u e r r i l l a   t e r r o r i s t   b a n e   s a v e   g o t h a m   c i t y   t o t a l   a n n i h i l a t i o n   a n a r c h y   f o r c e d   j o k e r   e i g h t   y e a r s   i m p o s e d   e x i l e   r e i g n   e d g e   d a r k   k n i g h t   h e l p   
WALL·E,benburtt elissaknight jeffgarlin andrewstanton animation  adventure  family W A L L · E space journey small waste mankind distant future ultimately decide fate collecting robot inadvertently embarks b e n b u r t t   e l i s s a k n i g h t   j e f f g a r l i n   a n d r e w s t a n t o n   a n i m a t i o n     a d v e n t u r e     f a m i l y   W   A   L   L   ·   E   s p a c e   j o u r n e y   s m a l l   w a s t e   m a n k i n d   d i s t a n t   f u t u r e   u l t i m a t e l y   d e c i d e   f a t e   c o l l e c t i n g   r o b o t   i n a d v e r t e n t l y   e m b a r k s   
American Beauty,kevinspacey annettebening thorabirch sammendes drama  romance A m e r i c a n   B e a u t y life crisis becoming infatuated sexually frustrated suburban father daughter best friend mid k e v i n s p a c e y   a n n e t t e b e n i n g   t h o r a b i r c h   s a m m e n d e s   d r a m a     r o m a n c e   A   m   e   r   i   c   a   n       B   e   a   u   t   y   l i f e   c r i s i s   b e c o m i n g   i n f a t u a t e d   s e x u a l l y   f r u s t r a t e d   s u b u r b a n   f a t h e r   d a u g h t e r   b e s t   f r i e n d   m i d   
Once Upon a Time in America,robertdeniro jameswoods elizabethmcgovern sergioleone crime  drama O n c e   U p o n   a   T i m e   i n   A m e r i c a manhattan regrets must confront ghosts old life lower east side era jewish gangster returns former prohibition thirty years later r o b e r t d e n i r o   j a m e s w o o d s   e l i z a b e t h m c g o v e r n   s e r g i o l e o n e   c r i m e     d r a m a   O   n   c   e       U   p   o   n       a       T   i   m   e       i   n       A   m   e   r   i   c   a   m a n h a t t a n   r e g r e t s   m u s t   c o n f r o n t   g h o s t s   o l d   l i f e   l o w e r   e a s t   s i d e   e r a   j e w i s h   g a n g s t e r   r e t u r n s   f o r m e r   p r o h i b i t i o n   t h i r t y   y e a r s   l a t e r   
Aliens,sigourneyweaver carriehenn michaelbiehn jamescameron action  adventure  sci-fi A l i e n s alien colonized 1979 enough contact impressive firepower rescue team lost time moon s i g o u r n e y w e a v e r   c a r r i e h e n n   m i c h a e l b i e h n   j a m e s c a m e r o n   a c t i o n     a d v e n t u r e     s c i - f i   A   l   i   e   n   s   a l i e n   c o l o n i z e d   1 9 7 9   e n o u g h   c o n t a c t   i m p r e s s i v e   f i r e p o w e r   r e s c u e   t e a m   l o s t   t i m e   m o o n   
Citizen Kane,josephcotten dorothycomingore agnesmoorehead orsonwelles drama  mystery C i t i z e n   K a n e final utterance death publishing tycoon following news reporters scramble meaning discover j o s e p h c o t t e n   d o r o t h y c o m i n g o r e   a g n e s m o o r e h e a d   o r s o n w e l l e s   d r a m a     m y s t e r y   C   i   t   i   z   e   n       K   a   n   e   f i n a l   u t t e r a n c e   d e a t h   p u b l i s h i n g   t y c o o n   f o l l o w i n g   n e w s   r e p o r t e r s   s c r a m b l e   m e a n i n g   d i s c o v e r   
North by Northwest,carygrant evamariesaint jamesmason alfredhitchcock action  adventure  mystery N o r t h   b y   N o r t h w e s t survive group foreign spies mistaken government agent country way pursued across looks hapless new york advertising executive c a r y g r a n t   e v a m a r i e s a i n t   j a m e s m a s o n   a l f r e d h i t c h c o c k   a c t i o n     a d v e n t u r e     m y s t e r y   N   o   r   t   h       b   y       N   o   r   t   h   w   e   s   t   s u r v i v e   g r o u p   f o r e i g n   s p i e s   m i s t a k e n   g o v e r n m e n t   a g e n t   c o u n t r y   w a y   p u r s u e d   a c r o s s   l o o k s   h a p l e s s   n e w   y o r k   a d v e r t i s i n g   e x e c u t i v e   
Vertigo,jamesstewart kimnovak barbarabelgeddes alfredhitchcock mystery  romance  thriller V e r t i g o strange activities old friend wife san francisco detective suffering acrophobia investigates becoming dangerously obsessed j a m e s s t e w a r t   k i m n o v a k   b a r b a r a b e l g e d d e s   a l f r e d h i t c h c o c k   m y s t e r y     r o m a n c e     t h r i l l e r   V   e   r   t   i   g   o   s t r a n g e   a c t i v i t i e s   o l d   f r i e n d   w i f e   s a n   f r a n c i s c o   d e t e c t i v e   s u f f e r i n g   a c r o p h o b i a   i n v e s t i g a t e s   b e c o m i n g   d a n g e r o u s l y   o b s e s s e d   
Star Wars: Episode VI - Return of the Jedi,markhamill harrisonford carriefisher richardmarquand action  adventure  fantasy S t a r   W a r s :   E p i s o d e   V I   -   R e t u r n   o f   t h e   J e d i emperor meanwhile powerful death star rebels dispatch hutt rescue han solo trap help vader back luke struggles daring mission dark side without falling destroy endor jabba m a r k h a m i l l   h a r r i s o n f o r d   c a r r i e f i s h e r   r i c h a r d m a r q u a n d   a c t i o n     a d v e n t u r e     f a n t a s y   S   t   a   r       W   a   r   s   :       E   p   i   s   o   d   e       V   I       -       R   e   t   u   r   n       o   f       t   h   e       J   e   d   i   e m p e r o r   m e a n w h i l e   p o w e r f u l   d e a t h   s t a r   r e b e l s   d i s p a t c h   h u t t   r e s c u e   h a n   s o l o   t r a p   h e l p   v a d e r   b a c k   l u k e   s t r u g g l e s   d a r i n g   m i s s i o n   d a r k   s i d e   w i t h o u t   f a l l i n g   d e s t r o y   e n d o r   j a b b a   
Braveheart,jamesrobinson seanlawlor sandynelson melgibson biography  drama  history B r a v e h e a r t assaulting tried rape king edward secret bride executed sir william wallace begins revolt england english soldier j a m e s r o b i n s o n   s e a n l a w l o r   s a n d y n e l s o n   m e l g i b s o n   b i o g r a p h y     d r a m a     h i s t o r y   B   r   a   v   e   h   e   a   r   t   a s s a u l t i n g   t r i e d   r a p e   k i n g   e d w a r d   s e c r e t   b r i d e   e x e c u t e d   s i r   w i l l i a m   w a l l a c e   b e g i n s   r e v o l t   e n g l a n d   e n g l i s h   s o l d i e r   
Reservoir Dogs,harveykeitel timroth michaelmadsen quentintarantino crime  drama  thriller R e s e r v o i r   D o g s police informant surviving criminals begin one simple jewelry heist goes terribly wrong suspect h a r v e y k e i t e l   t i m r o t h   m i c h a e l m a d s e n   q u e n t i n t a r a n t i n o   c r i m e     d r a m a     t h r i l l e r   R   e   s   e   r   v   o   i   r       D   o   g   s   p o l i c e   i n f o r m a n t   s u r v i v i n g   c r i m i n a l s   b e g i n   o n e   s i m p l e   j e w e l r y   h e i s t   g o e s   t e r r i b l y   w r o n g   s u s p e c t   
Double Indemnity,fredmacmurray barbarastanwyck edwardg.robinson billywilder crime  drama  film-noir D o u b l e   I n d e m n i t y talked arouses insurance fraud scheme suspicions investigator representative lets murder f r e d m a c m u r r a y   b a r b a r a s t a n w y c k   e d w a r d g . r o b i n s o n   b i l l y w i l d e r   c r i m e     d r a m a     f i l m - n o i r   D   o   u   b   l   e       I   n   d   e   m   n   i   t   y   t a l k e d   a r o u s e s   i n s u r a n c e   f r a u d   s c h e m e   s u s p i c i o n s   i n v e s t i g a t o r   r e p r e s e n t a t i v e   l e t s   m u r d e r   
Requiem for a Dream,ellenburstyn jaredleto jenniferconnelly darrenaronofsky drama R e q u i e m   f o r   a   D r e a m addictions run deep four coney island people shattered drug induced utopias e l l e n b u r s t y n   j a r e d l e t o   j e n n i f e r c o n n e l l y   d a r r e n a r o n o f s k y   d r a m a   R   e   q   u   i   e   m       f   o   r       a       D   r   e   a   m   a d d i c t i o n s   r u n   d e e p   f o u r   c o n e y   i s l a n d   p e o p l e   s h a t t e r e d   d r u g   i n d u c e d   u t o p i a s   
Lawrence of Arabia,petero'toole alecguinness anthonyquinn davidlean adventure  biography  drama L a w r e n c e   o f   A r a b i a successfully united often warring e world war diverse arab tribes order english officer fight story turks lawrence led p e t e r o ' t o o l e   a l e c g u i n n e s s   a n t h o n y q u i n n   d a v i d l e a n   a d v e n t u r e     b i o g r a p h y     d r a m a   L   a   w   r   e   n   c   e       o   f       A   r   a   b   i   a   s u c c e s s f u l l y   u n i t e d   o f t e n   w a r r i n g   e   w o r l d   w a r   d i v e r s e   a r a b   t r i b e s   o r d e r   e n g l i s h   o f f i c e r   f i g h t   s t o r y   t u r k s   l a w r e n c e   l e d   
The Kid,carlmiller ednapurviance jackiecoogan charleschaplin comedy  drama  family T h e   K i d events put abandoned child tramp cares jeopardy relationship c a r l m i l l e r   e d n a p u r v i a n c e   j a c k i e c o o g a n   c h a r l e s c h a p l i n   c o m e d y     d r a m a     f a m i l y   T   h   e       K   i   d   e v e n t s   p u t   a b a n d o n e d   c h i l d   t r a m p   c a r e s   j e o p a r d y   r e l a t i o n s h i p   
A Clockwork Orange,malcolmmcdowell patrickmagee michaelbates stanleykubrick crime  drama  sci-fi A   C l o c k w o r k   O r a n g e practice crimes effort ultra alex delarge psycopath delinquent jailed experimental aversion therapy developed government likes volunteers plan violence future britain solve society crime problem charismatic goes according gang m a l c o l m m c d o w e l l   p a t r i c k m a g e e   m i c h a e l b a t e s   s t a n l e y k u b r i c k   c r i m e     d r a m a     s c i - f i   A       C   l   o   c   k   w   o   r   k       O   r   a   n   g   e   p r a c t i c e   c r i m e s   e f f o r t   u l t r a   a l e x   d e l a r g e   p s y c o p a t h   d e l i n q u e n t   j a i l e d   e x p e r i m e n t a l   a v e r s i o n   t h e r a p y   d e v e l o p e d   g o v e r n m e n t   l i k e s   v o l u n t e e r s   p l a n   v i o l e n c e   f u t u r e   b r i t a i n   s o l v e   s o c i e t y   c r i m e   p r o b l e m   c h a r i s m a t i c   g o e s   a c c o r d i n g   g a n g   
Amadeus,f.murrayabraham tomhulce elizabethberridge milosforman biography  drama  history A m a d e u s told wolfgang amadeus mozart confined insane asylum incredible story secret rival antonio salieri peer f . m u r r a y a b r a h a m   t o m h u l c e   e l i z a b e t h b e r r i d g e   m i l o s f o r m a n   b i o g r a p h y     d r a m a     h i s t o r y   A   m   a   d   e   u   s   t o l d   w o l f g a n g   a m a d e u s   m o z a r t   c o n f i n e d   i n s a n e   a s y l u m   i n c r e d i b l e   s t o r y   s e c r e t   r i v a l   a n t o n i o   s a l i e r i   p e e r   
To Kill a Mockingbird,gregorypeck johnmegna frankoverton robertmulligan crime  drama T o   K i l l   a   M o c k i n g b i r d children black man defends lawyer prejudice depression era south undeserved rape charge atticus finch g r e g o r y p e c k   j o h n m e g n a   f r a n k o v e r t o n   r o b e r t m u l l i g a n   c r i m e     d r a m a   T   o       K   i   l   l       a       M   o   c   k   i   n   g   b   i   r   d   c h i l d r e n   b l a c k   m a n   d e f e n d s   l a w y e r   p r e j u d i c e   d e p r e s s i o n   e r a   s o u t h   u n d e s e r v e d   r a p e   c h a r g e   a t t i c u s   f i n c h   
Eternal Sunshine of the Spotless Mind,jimcarrey katewinslet gerryrobertbyrne michelgondry drama  romance  sci-fi E t e r n a l   S u n s h i n e   o f   t h e   S p o t l e s s   M i n d begin memories procedure erased discover process relationship turns sour couple undergoes loss j i m c a r r e y   k a t e w i n s l e t   g e r r y r o b e r t b y r n e   m i c h e l g o n d r y   d r a m a     r o m a n c e     s c i - f i   E   t   e   r   n   a   l       S   u   n   s   h   i   n   e       o   f       t   h   e       S   p   o   t   l   e   s   s       M   i   n   d   b e g i n   m e m o r i e s   p r o c e d u r e   e r a s e d   d i s c o v e r   p r o c e s s   r e l a t i o n s h i p   t u r n s   s o u r   c o u p l e   u n d e r g o e s   l o s s   
Singin' in the Rain,"genekelly donaldo'connor debbiereynolds stanleydonen,genekelly comedy  musical  romance S i n g i n '   i n   t h e   R a i n cast make sound silent film production company difficult transition g e n e k e l l y   d o n a l d o ' c o n n o r   d e b b i e r e y n o l d s   s t a n l e y d o n e n , g e n e k e l l y   c o m e d y     m u s i c a l     r o m a n c e   S   i   n   g   i   n   '       i   n       t   h   e       R   a   i   n   c a s t   m a k e   s o u n d   s i l e n t   f i l m   p r o d u c t i o n   c o m p a n y   d i f f i c u l t   t r a n s i t i o n   "
Taxi Driver,diahnneabbott frankadu victorargo martinscorsese crime  drama T a x i   D r i v e r urge mentally unstable vietnam war veteran works new york city sleaze feeds attempting violent action preadolescent prostitute process perceived decadence time taxi driver night save d i a h n n e a b b o t t   f r a n k a d u   v i c t o r a r g o   m a r t i n s c o r s e s e   c r i m e     d r a m a   T   a   x   i       D   r   i   v   e   r   u r g e   m e n t a l l y   u n s t a b l e   v i e t n a m   w a r   v e t e r a n   w o r k s   n e w   y o r k   c i t y   s l e a z e   f e e d s   a t t e m p t i n g   v i o l e n t   a c t i o n   p r e a d o l e s c e n t   p r o s t i t u t e   p r o c e s s   p e r c e i v e d   d e c a d e n c e   t i m e   t a x i   d r i v e r   n i g h t   s a v e   
The Sting,paulnewman robertredford robertshaw georgeroyhill comedy  crime  drama T h e   S t i n g young con man seeking revenge september 1936 win big criminal banker fortune master murdered partner teams chicago p a u l n e w m a n   r o b e r t r e d f o r d   r o b e r t s h a w   g e o r g e r o y h i l l   c o m e d y     c r i m e     d r a m a   T   h   e       S   t   i   n   g   y o u n g   c o n   m a n   s e e k i n g   r e v e n g e   s e p t e m b e r   1 9 3 6   w i n   b i g   c r i m i n a l   b a n k e r   f o r t u n e   m a s t e r   m u r d e r e d   p a r t n e r   t e a m s   c h i c a g o   
Toy Story 3,tomhanks timallen joancusack leeunkrich animation  adventure  comedy T o y   S t o r y   3 mistakenly delivered day attic right care center instead abandoned toys andy leaves return home college convince woody t o m h a n k s   t i m a l l e n   j o a n c u s a c k   l e e u n k r i c h   a n i m a t i o n     a d v e n t u r e     c o m e d y   T   o   y       S   t   o   r   y       3   m i s t a k e n l y   d e l i v e r e d   d a y   a t t i c   r i g h t   c a r e   c e n t e r   i n s t e a d   a b a n d o n e d   t o y s   a n d y   l e a v e s   r e t u r n   h o m e   c o l l e g e   c o n v i n c e   w o o d y   
2001: A Space Odyssey,keirdullea garylockwood williamsylvester stanleykubrick adventure  sci-fi 2 0 0 1 :   A   S p a c e   O d y s s e y 9000 intelligent computer h humanity finds mysterious obviously artificial object buried beneath lunar surface quest l sets k e i r d u l l e a   g a r y l o c k w o o d   w i l l i a m s y l v e s t e r   s t a n l e y k u b r i c k   a d v e n t u r e     s c i - f i   2   0   0   1   :       A       S   p   a   c   e       O   d   y   s   s   e   y   9 0 0 0   i n t e l l i g e n t   c o m p u t e r   h   h u m a n i t y   f i n d s   m y s t e r i o u s   o b v i o u s l y   a r t i f i c i a l   o b j e c t   b u r i e d   b e n e a t h   l u n a r   s u r f a c e   q u e s t   l   s e t s   
Full Metal Jacket,matthewmodine adambaldwin vincentd'onofrio stanleykubrick drama  war F u l l   M e t a l   J a c k e t marine observes dehumanizing effects pragmatic u hue vietnam war bloody street fighting fellow recruits brutal boot camp training m a t t h e w m o d i n e   a d a m b a l d w i n   v i n c e n t d ' o n o f r i o   s t a n l e y k u b r i c k   d r a m a     w a r   F   u   l   l       M   e   t   a   l       J   a   c   k   e   t   m a r i n e   o b s e r v e s   d e h u m a n i z i n g   e f f e c t s   p r a g m a t i c   u   h u e   v i e t n a m   w a r   b l o o d y   s t r e e t   f i g h t i n g   f e l l o w   r e c r u i t s   b r u t a l   b o o t   c a m p   t r a i n i n g   
Baby Driver,anselelgort jonbernthal jonhamm edgarwright action  crime  music B a b y   D r i v e r working heist doomed coerced fail crime boss young getaway driver finds taking part a n s e l e l g o r t   j o n b e r n t h a l   j o n h a m m   e d g a r w r i g h t   a c t i o n     c r i m e     m u s i c   B   a   b   y       D   r   i   v   e   r   w o r k i n g   h e i s t   d o o m e d   c o e r c e d   f a i l   c r i m e   b o s s   y o u n g   g e t a w a y   d r i v e r   f i n d s   t a k i n g   p a r t   
Toy Story,tomhanks timallen donrickles johnlasseter animation  adventure  comedy T o y   S t o r y top toy room boy cowboy doll profoundly threatened new spaceman figure supplants jealous t o m h a n k s   t i m a l l e n   d o n r i c k l e s   j o h n l a s s e t e r   a n i m a t i o n     a d v e n t u r e     c o m e d y   T   o   y       S   t   o   r   y   t o p   t o y   r o o m   b o y   c o w b o y   d o l l   p r o f o u n d l y   t h r e a t e n e d   n e w   s p a c e m a n   f i g u r e   s u p p l a n t s   j e a l o u s   
Inglourious Basterds,"bradpitt mélanielaurent christophwaltz quentintarantino,eliroth adventure  drama  war I n g l o u r i o u s   B a s t e r d s nazi jewish u group theatre owner occupied france vengeful plans plan assassinate leaders soldiers coincides world war ii b r a d p i t t   m é l a n i e l a u r e n t   c h r i s t o p h w a l t z   q u e n t i n t a r a n t i n o , e l i r o t h   a d v e n t u r e     d r a m a     w a r   I   n   g   l   o   u   r   i   o   u   s       B   a   s   t   e   r   d   s   n a z i   j e w i s h   u   g r o u p   t h e a t r e   o w n e r   o c c u p i e d   f r a n c e   v e n g e f u l   p l a n s   p l a n   a s s a s s i n a t e   l e a d e r s   s o l d i e r s   c o i n c i d e s   w o r l d   w a r   i i   "
Snatch,beniciodeltoro dennisfarina vinniejones guyritchie comedy  crime S n a t c h unscrupulous boxing promoters incompetent amateur robbers track supposedly jewish jewelers fight priceless stolen diamond russian gangster violent bookmakers b e n i c i o d e l t o r o   d e n n i s f a r i n a   v i n n i e j o n e s   g u y r i t c h i e   c o m e d y     c r i m e   S   n   a   t   c   h   u n s c r u p u l o u s   b o x i n g   p r o m o t e r s   i n c o m p e t e n t   a m a t e u r   r o b b e r s   t r a c k   s u p p o s e d l y   j e w i s h   j e w e l e r s   f i g h t   p r i c e l e s s   s t o l e n   d i a m o n d   r u s s i a n   g a n g s t e r   v i o l e n t   b o o k m a k e r s   
The Apartment,jacklemmon shirleymaclaine fredmacmurray billywilder comedy  drama  romance T h e   A p a r t m e n t apartment trysts executives use rise romance ensue complications letting company man tries j a c k l e m m o n   s h i r l e y m a c l a i n e   f r e d m a c m u r r a y   b i l l y w i l d e r   c o m e d y     d r a m a     r o m a n c e   T   h   e       A   p   a   r   t   m   e   n   t   a p a r t m e n t   t r y s t s   e x e c u t i v e s   u s e   r i s e   r o m a n c e   e n s u e   c o m p l i c a t i o n s   l e t t i n g   c o m p a n y   m a n   t r i e s   
All About Eve,bettedavis annebaxter georgesanders josephl.mankiewicz drama A l l   A b o u t   E v e established circle theater friends ingenue insinuates aging stage actress company b e t t e d a v i s   a n n e b a x t e r   g e o r g e s a n d e r s   j o s e p h l . m a n k i e w i c z   d r a m a   A   l   l       A   b   o   u   t       E   v   e   e s t a b l i s h e d   c i r c l e   t h e a t e r   f r i e n d s   i n g e n u e   i n s i n u a t e s   a g i n g   s t a g e   a c t r e s s   c o m p a n y   
Monty Python and the Holy Grail,"grahamchapman johncleese ericidle terrygilliam,terryjones adventure  comedy  fantasy M o n t y   P y t h o n   a n d   t h e   H o l y   G r a i l silly obstacles knights embark low encountering many budget search king arthur grail g r a h a m c h a p m a n   j o h n c l e e s e   e r i c i d l e   t e r r y g i l l i a m , t e r r y j o n e s   a d v e n t u r e     c o m e d y     f a n t a s y   M   o   n   t   y       P   y   t   h   o   n       a   n   d       t   h   e       H   o   l   y       G   r   a   i   l   s i l l y   o b s t a c l e s   k n i g h t s   e m b a r k   l o w   e n c o u n t e r i n g   m a n y   b u d g e t   s e a r c h   k i n g   a r t h u r   g r a i l   "
Scarface,alpacino stevenbauer michellepfeiffer briandepalma crime  drama S c a r f a c e greed succumbs drug cartel determined cuban immigrant takes 1980 miami a l p a c i n o   s t e v e n b a u e r   m i c h e l l e p f e i f f e r   b r i a n d e p a l m a   c r i m e     d r a m a   S   c   a   r   f   a   c   e   g r e e d   s u c c u m b s   d r u g   c a r t e l   d e t e r m i n e d   c u b a n   i m m i g r a n t   t a k e s   1 9 8 0   m i a m i   
L.A. Confidential,kevinspacey russellcrowe guypearce curtishanson crime  drama  mystery L . A .   C o n f i d e n t i a l brand corruption grows investigate one strait series brutal justice three policemen murders laced 1950s la sleazy k e v i n s p a c e y   r u s s e l l c r o w e   g u y p e a r c e   c u r t i s h a n s o n   c r i m e     d r a m a     m y s t e r y   L   .   A   .       C   o   n   f   i   d   e   n   t   i   a   l   b r a n d   c o r r u p t i o n   g r o w s   i n v e s t i g a t e   o n e   s t r a i t   s e r i e s   b r u t a l   j u s t i c e   t h r e e   p o l i c e m e n   m u r d e r s   l a c e d   1 9 5 0 s   l a   s l e a z y   
Good Will Hunting,"mattdamon benaffleck stellanskarsgård gusvansant drama G o o d   W i l l   H u n t i n g gift janitor hunting find direction psychologist life needs help ., mathematics m a t t d a m o n   b e n a f f l e c k   s t e l l a n s k a r s g å r d   g u s v a n s a n t   d r a m a   G   o   o   d       W   i   l   l       H   u   n   t   i   n   g   g i f t   j a n i t o r   h u n t i n g   f i n d   d i r e c t i o n   p s y c h o l o g i s t   l i f e   n e e d s   h e l p   . ,   m a t h e m a t i c s   "
